GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
shodrone.util.ci/backoffice,default,Bootstrap,90,0,0,0,19,0,4,0,4,0
shodrone.util.ci/backoffice,default,Main,21,0,0,0,10,0,2,0,2,0
shodrone.util.ci/backoffice,controller,AuthenticationController,32,0,2,0,11,0,5,0,4,0
shodrone.util.ci/backoffice,persistence.jpa.JPAImpl,AuthenticationRepositoryJPAImpl,82,0,8,0,23,0,14,0,10,0
shodrone.util.ci/backoffice,persistence.jpa.JPAImpl,FigureRepositoryJPAImpl,3,0,0,0,1,0,1,0,1,0
shodrone.util.ci/backoffice,persistence.jpa.JPAImpl,exampleJPAImpl,3,0,0,0,1,0,1,0,1,0
shodrone.util.ci/backoffice,persistence.jpa.JPAImpl,ShowRequestJPAImpl,3,0,0,0,1,0,1,0,1,0
shodrone.util.ci/backoffice,more,ColorfulOutput,3,0,0,0,1,0,1,0,1,0
shodrone.util.ci/backoffice,session,UserSession,32,0,0,0,10,0,7,0,7,0
shodrone.util.ci/backoffice,persistence.jpa,JpaBaseRepository,125,0,10,0,39,0,14,0,9,0
shodrone.util.ci/backoffice,factories,FactoryProvider,4,0,0,0,1,0,1,0,1,0
shodrone.util.ci/backoffice,persistence.inmemory,InMemoryAuthenticationRepository,37,0,0,0,9,0,6,0,6,0
shodrone.util.ci/backoffice,persistence.inmemory,InMemoryShowRequestRepository,5,0,0,0,2,0,2,0,2,0
shodrone.util.ci/backoffice,persistence.inmemory,Repositories,34,0,2,0,11,0,5,0,4,0
shodrone.util.ci/backoffice,ui.authz,AuthenticationUI,191,0,24,0,52,0,19,0,7,0
shodrone.util.ci/backoffice,domain.entity,ShowRequest,81,0,6,0,23,0,9,0,6,0
shodrone.util.ci/backoffice,domain.entity,Costumer,3,0,0,0,1,0,1,0,1,0
shodrone.util.ci/backoffice,domain.entity,Figure,3,0,0,0,1,0,1,0,1,0
shodrone.util.ci/backoffice,ui,AdminUI,63,0,6,0,13,0,5,0,2,0
shodrone.util.ci/backoffice,ui,RepresentativeUI,63,0,6,0,13,0,5,0,2,0
shodrone.util.ci/backoffice,ui,ShowDesignerUI,63,0,6,0,13,0,5,0,2,0
shodrone.util.ci/backoffice,ui,CRMCollaboratorUI,73,0,6,0,14,0,5,0,2,0
shodrone.util.ci/backoffice,ui,CRMManagerUI,74,0,6,0,14,0,5,0,2,0
shodrone.util.ci/backoffice,ui,RegisterShowRequestUI,7,0,0,0,3,0,2,0,2,0
shodrone.util.ci/backoffice,ui.menu,StartupMessageBackofficeUI,76,0,2,0,20,0,4,0,3,0
shodrone.util.ci/backoffice,ui.menu,MenuItem,37,0,4,0,12,0,6,0,4,0
shodrone.util.ci/backoffice,ui.menu,ShowTextUI,25,0,2,0,9,0,3,0,2,0
shodrone.util.ci/backoffice,ui.menu,DevTeamUI,28,0,0,0,11,0,2,0,2,0
shodrone.util.ci/backoffice,ui.menu,MainMenuUI,51,0,6,0,12,0,5,0,2,0
shodrone.util.ci/backoffice,utils,Utils,312,0,18,0,69,0,22,0,13,0
shodrone.util.ci/backoffice,utils,HashCoder,222,0,2,0,54,0,33,0,32,0
shodrone.util.ci/backoffice,factories.impl,ShowRequestFactoryImpl,5,0,0,0,2,0,2,0,2,0
shodrone.util.ci/backoffice,domain.valueObjects,ShowRequestStatus,44,0,2,0,9,0,4,0,3,0
shodrone.util.ci/backoffice,domain.valueObjects,Location,3,0,0,0,1,0,1,0,1,0
shodrone.util.ci/backoffice,authz,UserRole,133,0,32,0,28,0,27,0,11,0
shodrone.util.ci/backoffice,authz,UserRoleRepository,49,0,0,0,16,0,5,0,5,0
shodrone.util.ci/backoffice,authz,User,187,0,30,0,37,0,31,0,16,0
shodrone.util.ci/backoffice,authz,UserRepository,69,0,0,0,23,0,6,0,6,0
shodrone.util.ci/backoffice,authz,Password,91,0,16,0,20,0,16,0,8,0
shodrone.util.ci/backoffice,authz,Email,79,0,14,0,17,0,15,0,8,0
